year,state_abbr,state,stratification_category,stratification,obesity_pct,no_leisure_activity_pct,low_fruit_consumption_pct
2017,HI,Hawaii,Sex,Female,22.4,28.3,33.2
2017,HI,Hawaii,Sex,Male,25.1,18.8,40.7
2017,HI,Hawaii,Total,Total,23.8,23.5,37.0
2017,IA,Iowa,Age (years),18 - 24,22.6,14.5,38.5
2017,IA,Iowa,Age (years),25 - 34,37.7,20.0,34.6
2017,IA,Iowa,Age (years),35 - 44,39.1,21.9,38.2
2017,IA,Iowa,Age (years),45 - 54,42.4,27.6,39.4
2017,IA,Iowa,Age (years),55 - 64,43.2,30.9,36.0
2017,IA,Iowa,Age (years),65 or older,32.5,30.8,29.5
2017,IA,Iowa,Education,College graduate,28.9,14.8,26.9
2017,IA,Iowa,Education,High school graduate,39.9,31.2,39.9
2017,IA,Iowa,Education,Less than high school,39.5,36.5,40.7
2017,IA,Iowa,Education,Some college or technical school,38.0,24.4,36.9
2017,IA,Iowa,Income,"$15,000 - $24,999",39.8,29.6,39.6
2017,IA,Iowa,Income,"$25,000 - $34,999",36.3,30.6,35.8
2017,IA,Iowa,Income,"$35,000 - $49,999",40.0,28.0,35.2
2017,IA,Iowa,Income,"$50,000 - $74,999",39.8,25.0,37.0
2017,IA,Iowa,Income,"$75,000 or greater",30.7,16.3,31.7
2017,IA,Iowa,Income,Data not reported,31.1,29.2,35.5
2017,IA,Iowa,Income,"Less than $15,000",50.1,33.0,43.5
2017,IA,Iowa,Race/Ethnicity,Hispanic,38.1,29.2,26.6
2017,IA,Iowa,Race/Ethnicity,Non-Hispanic 2 or more races,31.3,14.2,37.3
2017,IA,Iowa,Race/Ethnicity,Non-Hispanic Asian,23.9,16.2,28.9
2017,IA,Iowa,Race/Ethnicity,Non-Hispanic Black,43.3,32.9,36.8
2017,IA,Iowa,Race/Ethnicity,Non-Hispanic White,36.6,24.5,36.1
2017,IA,Iowa,Sex,Female,36.4,24.5,30.9
2017,IA,Iowa,Sex,Male,36.4,25.4,40.5
2017,IA,Iowa,Total,Total,36.4,25.0,35.6
2017,ID,Idaho,Age (years),18 - 24,16.2,17.3,45.5
2017,ID,Idaho,Age (years),25 - 34,29.0,21.7,35.0
2017,ID,Idaho,Age (years),35 - 44,31.9,20.2,30.6
2017,ID,Idaho,Age (years),45 - 54,36.5,27.8,38.3
2017,ID,Idaho,Age (years),55 - 64,35.2,28.5,33.4
2017,ID,Idaho,Age (years),65 or older,26.1,27.9,32.4
2017,ID,Idaho,Education,College graduate,24.8,14.4,29.9
2017,ID,Idaho,Education,High school graduate,32.3,30.7,37.7
2017,ID,Idaho,Education,Less than high school,30.9,39.3,43.6
2017,ID,Idaho,Education,Some college or technical school,29.6,21.6,35.3
2017,ID,Idaho,Income,"$15,000 - $24,999",34.1,31.6,39.0
2017,ID,Idaho,Income,"$25,000 - $34,999",29.9,28.5,42.3
2017,ID,Idaho,Income,"$35,000 - $49,999",31.9,25.6,35.6
2017,ID,Idaho,Income,"$50,000 - $74,999",29.9,22.5,30.9
2017,ID,Idaho,Income,"$75,000 or greater",25.3,13.4,28.9
2017,ID,Idaho,Income,Data not reported,25.2,25.3,38.8
2017,ID,Idaho,Income,"Less than $15,000",30.7,38.1,44.3
2017,ID,Idaho,Race/Ethnicity,Hispanic,37.3,30.9,34.0
2017,ID,Idaho,Race/Ethnicity,Non-Hispanic 2 or more races,35.7,18.1,47.0
2017,ID,Idaho,Race/Ethnicity,Non-Hispanic White,28.1,23.3,35.1
2017,ID,Idaho,Sex,Female,28.2,22.4,30.5
2017,ID,Idaho,Sex,Male,30.5,26.0,40.4
2017,ID,Idaho,Total,Total,29.3,24.2,35.4
2017,IL,Illinois,Age (years),18 - 24,13.6,18.3,39.6
2017,IL,Illinois,Age (years),25 - 34,29.4,19.6,34.2
2017,IL,Illinois,Age (years),35 - 44,31.6,22.3,36.2
2017,IL,Illinois,Age (years),45 - 54,39.7,20.9,31.6
2017,IL,Illinois,Age (years),55 - 64,37.8,29.5,31.9
2017,IL,Illinois,Age (years),65 or older,30.2,30.8,28.7
2017,IL,Illinois,Education,College graduate,24.2,14.5,27.3
2017,IL,Illinois,Education,High school graduate,33.0,29.3,38.4
2017,IL,Illinois,Education,Less than high school,35.8,37.8,34.7
2017,IL,Illinois,Education,Some college or technical school,34.5,23.9,34.3
2017,IL,Illinois,Income,"$15,000 - $24,999",33.8,35.7,36.4
2017,IL,Illinois,Income,"$25,000 - $34,999",29.0,29.7,35.7
2017,IL,Illinois,Income,"$35,000 - $49,999",36.6,26.7,35.9
2017,IL,Illinois,Income,"$50,000 - $74,999",32.2,20.6,32.0
2017,IL,Illinois,Income,"$75,000 or greater",26.8,15.9,29.7
2017,IL,Illinois,Income,Data not reported,27.8,27.3,31.3
2017,IL,Illinois,Income,"Less than $15,000",39.8,32.4,40.6
2017,IL,Illinois,Race/Ethnicity,Hispanic,33.6,26.2,29.0
2017,IL,Illinois,Race/Ethnicity,Non-Hispanic 2 or more races,18.4,21.3,42.2
